y0,xdisc,degree,num_knots,t000,t001,t002,t003,t004,t005,t006,t007,t008,t009,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009
50.0,10.0,2.0,10.0,0.0,0.0,0.0,9.0,10.0,11.0,36.333333333333336,50.0,50.0,50.0,51.665093833088754,30.557867971941853,20.48393803750312,25.597577700765573,10.98886690342783,11.293993737309664,10.0113547826427,0.0,0.0,0.0
50.0,10.0,2.0,10.0,0.0,0.0,0.0,9.0,10.0,11.0,36.333333333333336,50.0,50.0,50.0,49.97150783176174,28.868219414318816,20.94715068410092,26.358344330241415,11.29834905238322,11.138673840005232,10.088656651325214,0.0,0.0,0.0
50.0,10.0,2.0,10.0,0.0,0.0,0.0,9.0,10.0,11.0,36.333333333333336,50.0,50.0,50.0,43.576414048970186,33.637387313181485,19.100728261503665,26.899830205745875,11.01744430844057,11.244552210884416,10.051768126880459,0.0,0.0,0.0
50.0,10.0,2.0,10.0,0.0,0.0,0.0,9.0,10.0,11.0,36.333333333333336,50.0,50.0,50.0,50.431077096034116,28.72865560214712,20.275568579210628,27.340568866708967,10.797807116522806,11.41112325596299,9.966475858042768,0.0,0.0,0.0
50.0,10.0,2.0,10.0,0.0,0.0,0.0,9.0,10.0,11.0,36.333333333333336,50.0,50.0,50.0,54.303617921449444,22.32883452782626,26.276283788180468,27.609420583618,10.286176281466393,11.634507357018402,9.906770628911515,0.0,0.0,0.0
50.0,10.0,2.0,10.0,0.0,0.0,0.0,9.0,10.0,11.0,36.333333333333336,50.0,50.0,50.0,49.86637435803728,31.07200037991117,19.765959976276648,25.084789482162556,11.65037281914689,11.020639664196244,10.164734790704621,0.0,0.0,0.0
50.0,10.0,2.0,10.0,0.0,0.0,0.0,9.0,10.0,11.0,36.333333333333336,50.0,50.0,50.0,46.743585466764515,33.55566507407146,18.63260347128439,28.06828124510909,10.365737817382481,11.5907541276489,9.877924263071858,0.0,0.0,0.0
50.0,10.0,2.0,10.0,0.0,0.0,0.0,9.0,10.0,11.0,36.333333333333336,50.0,50.0,50.0,54.376733586210655,25.866939898612443,19.73215689862905,27.787301048036404,10.506897982235987,11.5542739674584,9.948440997896048,0.0,0.0,0.0
50.0,10.0,2.0,10.0,0.0,0.0,0.0,9.0,10.0,11.0,36.333333333333336,50.0,50.0,50.0,44.51899921978021,30.57799432438926,19.944917128169166,26.658947449077044,11.501596033746797,11.011909120156869,10.117346331742533,0.0,0.0,0.0
50.0,10.0,2.0,10.0,0.0,0.0,0.0,9.0,10.0,11.0,36.333333333333336,50.0,50.0,50.0,51.27598134223168,25.484459427653327,19.076908116245146,27.381779412416595,10.371846307242375,11.65317262693716,9.871152295952562,0.0,0.0,0.0
50.0,10.0,2.0,10.0,0.0,0.0,0.0,9.0,10.0,11.0,36.333333333333336,50.0,50.0,50.0,55.64814201915167,22.050419853411267,20.468524213050515,26.683445565023526,10.52902451645371,11.46374920427566,9.96057719307917,0.0,0.0,0.0
50.0,10.0,2.0,10.0,0.0,0.0,0.0,9.0,10.0,11.0,36.333333333333336,50.0,50.0,50.0,51.18047180236125,28.72276975539821,19.205676323589937,27.869125897082345,9.878235738050826,11.917536901504812,9.770039088683722,0.0,0.0,0.0
50.0,10.0,2.0,10.0,0.0,0.0,0.0,9.0,10.0,11.0,36.333333333333336,50.0,50.0,50.0,51.89115857468548,30.114488317731496,19.0185752936512,27.470120521829497,10.877566684837454,11.299608567494134,10.009417009198886,0.0,0.0,0.0
