y0,xdisc,degree,num_knots,t000,t001,t002,t003,t004,t005,t006,t007,t008,t009,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009
50.0,20.0,2.0,10.0,1.0717734625362931,1.0717734625362931,1.0717734625362931,19.0,20.0,21.0,41.5,64.0,64.0,64.0,45.07229629250248,6.20324618584363,9.395753818979607,12.865833498745033,3.821975453538528,-0.13556465283062835,0.2645142720519375,0.0,0.0,0.0
50.0,20.0,2.0,10.0,1.0717734625362931,1.0717734625362931,1.0717734625362931,19.0,20.0,21.0,41.5,64.0,64.0,64.0,45.81643519293872,7.737121632309811,8.490593133412206,12.313870199838808,3.4310821818106336,0.014970052397387903,0.24364152714384024,0.0,0.0,0.0
50.0,20.0,2.0,10.0,1.0717734625362931,1.0717734625362931,1.0717734625362931,19.0,20.0,21.0,41.5,64.0,64.0,64.0,43.05507831065615,11.734724645550449,7.106744013574389,14.712396031582003,3.154762847963363,0.2533006643974888,0.19495578957187143,0.0,0.0,0.0
50.0,20.0,2.0,10.0,1.0717734625362931,1.0717734625362931,1.0717734625362931,19.0,20.0,21.0,41.5,64.0,64.0,64.0,44.303748697244444,13.318755281985174,5.611872101365868,13.522923193613597,2.685345127557387,0.5921980018420653,0.09616965529690813,0.0,0.0,0.0
50.0,20.0,2.0,10.0,1.0717734625362931,1.0717734625362931,1.0717734625362931,19.0,20.0,21.0,41.5,64.0,64.0,64.0,42.878633584065305,11.963481464160628,6.6998426063557135,13.726426725541913,3.1070040568239103,0.3856322668307768,0.14665176561059473,0.0,0.0,0.0
50.0,20.0,2.0,10.0,1.0717734625362931,1.0717734625362931,1.0717734625362931,19.0,20.0,21.0,41.5,64.0,64.0,64.0,45.11033973897426,7.493625673370298,8.716442036014964,13.444620126231033,4.223135631863152,-0.4046623870192965,0.3148970939315327,0.0,0.0,0.0
50.0,20.0,2.0,10.0,1.0717734625362931,1.0717734625362931,1.0717734625362931,19.0,20.0,21.0,41.5,64.0,64.0,64.0,45.03580823968819,8.546707204118997,8.643193636361746,15.630381146145465,2.609060600821393,0.5620827452373726,0.14530928294851136,0.0,0.0,0.0
50.0,20.0,2.0,10.0,1.0717734625362931,1.0717734625362931,1.0717734625362931,19.0,20.0,21.0,41.5,64.0,64.0,64.0,42.770536324206624,12.11436998686348,7.1327782396429535,12.223010368870135,3.6567081786212685,-0.2672407668755272,0.3289184245340296,0.0,0.0,0.0
50.0,20.0,2.0,10.0,1.0717734625362931,1.0717734625362931,1.0717734625362931,19.0,20.0,21.0,41.5,64.0,64.0,64.0,42.88431603674532,9.339172221464791,7.7079221533984095,14.362228357730125,2.2234777799965237,0.8086744181203087,0.049601939669070554,0.0,0.0,0.0
50.0,20.0,2.0,10.0,1.0717734625362931,1.0717734625362931,1.0717734625362931,19.0,20.0,21.0,41.5,64.0,64.0,64.0,45.21635704034825,9.477525564328664,8.143554539041908,12.626933191307698,3.8153201110898314,-0.27059576650077466,0.31469533702784735,0.0,0.0,0.0
